matter	dept	mb
Freedom of Information	Attorney-General's	2015-09-30
Freedom of Information	Attorney-General's	2016-02-18
Freedom of Information	Attorney-General's	2016-07-19
Freedom of Information	Attorney-General's	2016-09-01
Freedom of Information	Attorney-General's	2016-10-27
Freedom of Information	Attorney-General's	2017-04-13
Freedom of Information	Attorney-General's	2017-11-30
Freedom of Information	Attorney-General's	2017-12-20
Freedom of Information	Attorney-General's	2018-04-19
Freedom of Information	Attorney-General's	2018-05-10
Freedom of Information	Attorney-General's	2018-08-28
Freedom of information	Prime Minister and Cabinet	2007-12-03
Freedom of information	Prime Minister and Cabinet	2008-01-25
Freedom of information	Prime Minister and Cabinet	2008-05-01
Freedom of information	Prime Minister and Cabinet	2010-03-08
Freedom of information	Prime Minister and Cabinet	2010-05-06
Freedom of information	Prime Minister and Cabinet	2010-06-29
Freedom of information	Prime Minister and Cabinet	2010-09-14
Freedom of information	Prime Minister and Cabinet	2010-10-14
Freedom of information	Attorney-General's	2011-10-19
Freedom of information	Attorney-General's	2011-12-07
Gene technology regulation	Health and Ageing	2001-11-26
Gene technology regulation	Health and Ageing	2003-12-18
Gene technology regulation	Health and Ageing	2004-10-26
Gene technology regulation	Health and Ageing	2004-12-16
Gene technology regulation	Health and Ageing	2005-07-21
Gene technology regulation	Health and Ageing	2006-01-27
Gene technology regulation	Health and Ageing	2006-09-21
Gene technology regulation	Health and Ageing	2007-01-30
Gene technology regulation	Health and Ageing	2007-12-03
Gene technology regulation	Health and Ageing	2008-01-25
Gene technology regulation	Health and Ageing	2008-05-01
Gene technology regulation	Health and Ageing	2010-03-08
Gene technology regulation	Health and Ageing	2010-05-06
Gene technology regulation	Health and Ageing	2010-06-29
Gene technology regulation	Health and Ageing	2010-09-14
Gene technology regulation	Health and Ageing	2010-10-14
Gene technology regulation	Health and Ageing	2011-10-19
Gene technology regulation	Health and Ageing	2011-12-07
Gene technology regulation	Health and Ageing	2011-12-14
Gene technology regulation	Health and Ageing	2012-02-09
Gene technology regulation	Health and Ageing	2013-03-25
Gene technology regulation	Health and Ageing	2013-05-16
Gene technology regulation	Health	2013-09-18
Gene technology regulation	Health	2013-10-03
Gene technology regulation	Health	2013-12-12
Gene technology regulation	Health	2014-12-23
Gene technology regulation	Health	2015-07-09
Gene technology regulation	Health	2015-09-21
Gene technology regulation	Health	2015-09-30
Gene technology regulation	Health	2016-02-18
Gene technology regulation	Health	2016-07-19
Gene technology regulation	Health	2016-09-01
Gene technology regulation	Health	2016-10-27
Gene technology regulation	Health	2017-04-13
Gene technology regulation	Health	2017-11-30
Gene technology regulation	Health	2017-12-20
Gene technology regulation	Health	2018-04-19
Gene technology regulation	Health	2018-05-10
Gene technology regulation	Health	2018-08-28
General policy guidelines for Commonwealth statutory authorities	Finance and Administration	2001-11-26
General policy guidelines for Commonwealth statutory authorities	Finance and Administration	2003-12-18
General policy guidelines for Commonwealth statutory authorities	Finance and Administration	2004-10-26
General policy guidelines for Commonwealth statutory authorities	Finance and Administration	2004-12-16
General policy guidelines for Commonwealth statutory authorities	Finance and Administration	2005-07-21
General policy guidelines for Commonwealth statutory authorities	Finance and Administration	2006-01-27
General policy guidelines for Commonwealth statutory authorities	Finance and Administration	2006-09-21
General policy guidelines for Commonwealth statutory authorities	Finance and Administration	2007-01-30
General policy guidelines for Commonwealth statutory authorities	Finance and Deregulation	2008-01-25
General policy guidelines for Commonwealth statutory authorities	Finance and Deregulation	2008-05-01
General policy guidelines for Commonwealth statutory authorities	Finance and Deregulation	2010-03-08
General policy guidelines for Commonwealth statutory authorities	Finance and Deregulation	2010-05-06
General policy guidelines for Commonwealth statutory authorities	Finance and Deregulation	2010-06-29
General policy guidelines for Commonwealth statutory authorities	Finance and Deregulation	2010-09-14
General policy guidelines for Commonwealth statutory authorities	Finance and Deregulation	2010-10-14
General policy guidelines for Commonwealth statutory authorities	Finance and Deregulation	2011-10-19
General policy guidelines for Commonwealth statutory authorities	Finance and Deregulation	2011-12-07
General policy guidelines for Commonwealth statutory authorities	Finance and Deregulation	2011-12-14
General policy guidelines for Commonwealth statutory authorities	Finance and Deregulation	2012-02-09
General policy guidelines for Commonwealth statutory authorities	Finance and Deregulation	2013-03-25
General policy guidelines for Commonwealth statutory authorities	Finance and Deregulation	2013-05-16
General policy guidelines for Commonwealth statutory authorities	Finance	2013-09-18
General policy guidelines for Commonwealth statutory authorities	Finance	2013-10-03
General policy guidelines for Commonwealth statutory authorities	Finance	2013-12-12
General policy guidelines for Commonwealth statutory authorities	Finance	2014-12-23
General policy guidelines for Commonwealth statutory authorities	Finance	2015-07-09
General policy guidelines for Commonwealth statutory authorities	Finance	2015-09-21
General policy guidelines for Commonwealth statutory authorities	Finance	2015-09-30
General policy guidelines for Commonwealth statutory authorities	Finance	2016-02-18
General policy guidelines for Commonwealth statutory authorities	Finance	2016-07-19
General policy guidelines for Commonwealth statutory authorities	Finance	2016-09-01
General policy guidelines for Commonwealth statutory authorities	Finance	2016-10-27
General policy guidelines for Commonwealth statutory authorities	Finance	2017-04-13
General policy guidelines for Commonwealth statutory authorities	Finance	2017-11-30
General policy guidelines for Commonwealth statutory authorities	Finance	2017-12-20
